sample_id,category,similarity_threshold,fight_threshold,hawk_dove_C,police_density,valid,failure_code,seed,warmup_steps,runtime_seconds,mean_fighting,std_fighting,peak_fighting,mean_fighting_fraction,arrests_measurement,mean_arrests_per_step,mean_spatial_entropy_local,mean_similarity,mean_happy_fraction,mean_win_probability,mean_arrest_probability
159,invalid,0.41590522504411637,-0.2958622008562088,2.294820405077189,0.05439972581341863,False,warmup_not_converged,42,2000,19.322941099992022,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
217,invalid,0.5816180537920446,-0.0035757713019847204,3.9215918142348527,0.14653147857636212,False,warmup_not_converged,42,2000,72.80942210002104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
222,invalid,0.4078544656280428,0.3152972809970379,14.288477496802805,0.03565938547253608,False,warmup_not_converged,42,2000,30.335716000001412,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
224,invalid,0.4078544656280428,0.10091730356216433,14.288477496802805,0.03565938547253608,False,warmup_not_converged,42,2000,30.945962599944323,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
225,invalid,0.4078544656280428,0.3152972809970379,12.081386528629809,0.03565938547253608,False,warmup_not_converged,42,2000,32.64890359999845,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
234,invalid,0.4875461849849671,0.15872026011347773,11.47340490380302,0.06806675935164093,False,warmup_not_converged,42,2000,33.13465950003592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
236,invalid,0.4875461849849671,-0.09878881126642225,11.47340490380302,0.06806675935164093,False,warmup_not_converged,42,2000,31.822276499995496,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
237,invalid,0.4875461849849671,0.15872026011347773,17.22214018031955,0.06806675935164093,False,warmup_not_converged,42,2000,25.860456399968825,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
256,invalid,0.4366642259992659,-0.23061477392911908,2.8644891895353792,0.06100730035454034,False,warmup_not_converged,42,2000,17.960116800037213,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
257,invalid,0.4819551871623844,0.19536471143364909,7.085041224118322,0.06100730035454034,False,warmup_not_converged,42,2000,18.018060200032778,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
283,invalid,0.432392480969429,0.28212574124336254,2.3893518929369746,0.01966835418716073,False,warmup_not_converged,42,2000,18.171260999981314,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
343,invalid,0.519192123459652,0.19242073893547063,18.19284081691876,0.02719940261915326,False,warmup_not_converged,42,2000,51.876514600007795,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
347,invalid,0.519192123459652,-0.2156836852431297,1.323083609342575,0.12081178097054361,False,warmup_not_converged,42,2000,45.86530309997033,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
361,invalid,0.4633518532849848,-0.14413226097822185,15.410853957757352,0.07769762428477406,False,warmup_not_converged,42,2000,21.077028799976688,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
