sample_id,similarity_threshold,fight_threshold,hawk_dove_C,police_density,n_steps,mean_fighting,std_fighting,peak_fighting,min_fighting,fighting_range,cv_fighting,max_step_jump,mean_abs_step_jump,early_mean_fighting,late_mean_fighting,absolute_drift,relative_drift,fraction_zero_fighting,mean_fighting_fraction,mean_happy_fraction,mean_entropy,mean_arrests,instability_score,unstable_flag
64,0.4656344367191195,-0.07845866680145258,18.973760421946643,0.14036562705412506,100,116.54,13.001861405198873,152.0,80.0,72.0,0.1115656547554391,44.0,15.030303030303031,116.66,116.42,0.23999999999999488,0.0020593787540758098,0.0,0.12139583333333331,0.49603125,0.5499969501495361,32.12,0.027181178886756828,False
65,0.6454511024523527,-0.1172412902116775,13.453853865526614,0.14036562705412506,100,187.34,16.22727333842627,225.0,150.0,75.0,0.08661937300323619,55.0,20.232323232323232,186.72,187.96,1.240000000000009,0.006618981530906422,0.0,0.19514583333333335,0.013854166666666666,0.6387767791748047,78.81,0.324795149855335,False
66,0.8932040591258555,0.3901687189936639,1.0069402024149894,0.0797642010450363,100,21.95,7.893509992392484,43.0,6.0,37.0,0.3596132114985186,26.0,7.373737373737374,23.54,20.36,3.1799999999999997,0.144874715261959,0.0,0.022864583333333334,5.208333333333333e-05,0.6359514156341552,4.04,1.132641679753853,True
67,0.1916662149131298,0.3901687189936639,1.0069402024149894,0.0797642010450363,100,43.99,11.268979545637661,70.0,17.0,53.0,0.25617139226273383,35.0,9.181818181818182,40.26,47.72,7.460000000000001,0.16958399636280974,0.0,0.045822916666666665,0.9926874999999998,0.5043946529388428,0.31,1.0004809063192401,False
68,0.8932040591258555,0.42979421466588985,1.0069402024149894,0.0797642010450363,100,11.23,6.156062052968602,34.0,0.0,34.0,0.5481800581450225,21.0,5.5353535353535355,13.46,9.0,4.460000000000001,0.3971504897595726,0.03,0.011697916666666667,8.333333333333333e-05,0.6344319530487061,2.02,2.7210339822321497,True
69,0.8932040591258555,0.3901687189936639,1.7304250204004348,0.0797642010450363,100,21.27,7.9622295872450195,44.0,9.0,35.0,0.37434083625975645,26.0,7.484848484848484,22.44,20.1,2.34,0.11001410437235543,0.0,0.02215625,2.0833333333333333e-05,0.6366370403289796,3.56,1.0094110553794369,True
70,0.8932040591258555,0.3901687189936639,1.0069402024149894,0.06492230672389268,100,35.92,9.78537684506836,61.0,17.0,44.0,0.27242140437272716,40.0,9.636363636363637,37.68,34.16,3.520000000000003,0.09799554565701567,0.0,0.03741666666666666,3.125e-05,0.6285740509033202,4.96,0.7143900000995902,False
71,0.1916662149131298,0.42979421466588985,1.7304250204004348,0.06492230672389268,100,36.07,8.7798120708817,55.0,12.0,43.0,0.24341037069258942,27.0,8.06060606060606,32.48,39.66,7.18,0.19905738841142223,0.0,0.037572916666666664,0.9943437500000002,0.4754566459655761,0.18,1.1039378438100982,True
72,0.7303399216849357,0.020389613509178228,8.08056849129498,0.06246269458904862,100,408.1,17.824982468434577,453.0,379.0,74.0,0.0436779771341205,63.0,18.646464646464647,408.02,408.18,0.160000000000025,0.00039206076941932124,0.0,0.4251041666666667,0.012666666666666666,0.6369328918457031,78.47,0.36417496742275335,False
73,0.15278625707142054,0.020389613509178228,8.08056849129498,0.06246269458904862,100,248.17,14.472770985543852,292.0,218.0,74.0,0.058317971493507884,46.0,15.202020202020202,252.36,243.98,8.380000000000024,0.03376717572631673,0.0,0.25851041666666663,0.9572395833333331,0.5163471263885497,36.63,0.05675165031120298,False
74,0.7303399216849357,0.15259723812341697,8.08056849129498,0.06246269458904862,100,208.89,18.50886004053194,266.0,167.0,99.0,0.08860577356758073,58.0,18.31313131313131,210.88,206.9,3.9799999999999898,0.01905309014313749,0.0,0.21759374999999997,0.013083333333333336,0.6332680618286132,42.89,0.2845374030964949,False
75,0.7303399216849357,0.020389613509178228,11.281797541864215,0.06246269458904862,100,336.0,17.58465239918037,380.0,292.0,88.0,0.052335274997560625,55.0,14.969696969696969,339.08,332.92,6.159999999999968,0.01833333333333324,0.0,0.35,0.0130625,0.6372984485626221,69.58,0.10616317335512507,False
76,0.7303399216849357,0.020389613509178228,8.08056849129498,0.12836167357861994,100,178.49,22.172277735947652,232.0,122.0,110.0,0.12422140027983446,86.0,27.575757575757574,177.5,179.48,1.9799999999999898,0.011093058434646141,0.0,0.18592708333333335,0.01525,0.633938367843628,57.83,1.078243263425364,True
77,0.15278625707142054,0.15259723812341697,11.281797541864215,0.12836167357861994,100,100.2,16.089748288895013,138.0,56.0,82.0,0.16057633022849313,61.0,17.363636363636363,103.98,96.42,7.560000000000002,0.07544910179640721,0.0,0.104375,0.9898020833333332,0.501354093170166,3.08,0.6327940831486093,False
78,0.3031593983992934,0.2897508934140206,11.909447391331195,0.08474532632157206,100,56.91,8.938786271077298,86.0,39.0,47.0,0.15706881516565277,31.0,9.333333333333334,57.3,56.52,0.779999999999994,0.013705851344227624,0.0,0.059281249999999994,0.9701770833333334,0.35476066504199105,1.17,0.11800278019523835,False
79,0.49839348113164306,0.2897508934140206,11.909447391331195,0.08474532632157206,100,41.68,9.077312377570797,68.0,18.0,50.0,0.21778580560390587,40.0,9.0,44.9,38.46,6.439999999999998,0.15451055662188096,0.0,0.04341666666666668,0.7838020833333332,0.3432156216920024,2.2,0.8415685712668004,False
80,0.3031593983992934,-0.29013757705688475,11.909447391331195,0.08474532632157206,100,456.84,19.16701333019832,496.0,404.0,92.0,0.04195563726949987,41.0,12.646464646464647,464.16,449.52,14.640000000000043,0.03204623062779101,0.0,0.47587499999999994,0.7339583333333333,0.5444855426788331,101.25,0.0252425825941527,False
81,0.3031593983992934,0.2897508934140206,4.049850751925259,0.08474532632157206,100,50.13,11.383018053222967,86.0,17.0,69.0,0.22706997911875057,47.0,13.494949494949495,51.38,48.88,2.5,0.04987033712347895,0.0,0.05221875,0.9728437499999998,0.35720498842952225,1.38,0.38924356733816107,False
82,0.3031593983992934,0.2897508934140206,11.909447391331195,0.05505126385018229,100,81.15,12.401915174681692,119.0,55.0,64.0,0.15282705082787051,56.0,16.696969696969695,80.44,81.86,1.4200000000000017,0.01749845964263711,0.0,0.08453125,0.9676250000000002,0.3761586484234743,1.13,0.2990706506091676,False
83,0.49839348113164306,-0.29013757705688475,4.049850751925259,0.05505126385018229,100,409.68,28.724860312976286,478.0,335.0,143.0,0.07011535909240453,45.0,16.616161616161616,398.48,420.88,22.399999999999977,0.054676820933411384,0.0,0.42675,0.6456458333333334,0.4255434990430118,72.22,0.2102652756116647,False
84,0.17253143838606774,-0.34793495833873744,4.103859169501811,0.0248530612885952,100,331.06,36.28327989584184,411.0,268.0,143.0,0.10959729322733594,42.0,12.141414141414142,361.1,301.02,60.08000000000004,0.18147767776233928,0.0,0.3448541666666667,0.9539687499999999,0.38076392092463945,24.83,0.7084372784955223,False
85,0.7791202807333321,-0.34793495833873744,4.103859169501811,0.0248530612885952,100,883.26,12.310662045560344,913.0,853.0,60.0,0.01393775563883833,44.0,13.545454545454545,883.32,883.2,0.12000000000000455,0.00013586033557503403,0.0,0.9200625000000001,0.001614583333333333,0.6335759025573731,38.8,0.0,False
86,0.17253143838606774,-0.04691347181797023,4.103859169501811,0.0248530612885952,100,344.81,27.42323649753982,424.0,286.0,138.0,0.07953144194640474,38.0,11.494949494949495,367.26,322.36,44.89999999999998,0.1302166410486934,0.0,0.3591770833333333,0.9640000000000001,0.41370323524475106,23.94,0.4701585719262926,False
87,0.17253143838606774,-0.34793495833873744,15.666096550878136,0.0248530612885952,100,284.49,24.511015890819376,340.0,238.0,102.0,0.08615774154036829,26.0,9.676767676767676,303.52,265.46,38.06,0.1337832612745615,0.0,0.29634374999999996,0.9663125000000001,0.6101176593780517,22.88,0.4863227741493512,False
88,0.17253143838606774,-0.34793495833873744,4.103859169501811,0.017745676878839732,100,309.92,39.87146347953633,421.0,246.0,175.0,0.1286508243402695,53.0,12.202020202020202,335.0,284.84,50.160000000000025,0.16184821889519882,0.0,0.3228333333333333,0.9658437500000001,0.36286097390916616,17.7,0.730234980754661,False
89,0.7791202807333321,-0.04691347181797023,15.666096550878136,0.017745676878839732,100,386.69,16.29030079525851,429.0,342.0,87.0,0.04212754608409452,48.0,15.777777777777779,385.86,387.52,1.6599999999999682,0.004292844397320769,0.0,0.4028020833333333,0.0012083333333333334,0.6379425071716309,23.09,0.0476290390264373,False
90,0.5953443287871778,0.23309471756219868,14.706071578059344,0.12179159115999935,100,44.08,9.514914608129702,69.0,18.0,51.0,0.21585559455829634,42.0,11.404040404040405,44.54,43.62,0.9200000000000017,0.02087114337568062,0.0,0.045916666666666675,0.12925,0.6179302371978759,8.15,0.25675235362290544,False
91,0.27048072600737216,0.23309471756219868,14.706071578059344,0.12179159115999935,100,37.74,7.811043464224226,57.0,21.0,36.0,0.20696988511457937,32.0,9.1010101010101,36.64,38.84,2.200000000000003,0.058293587705352486,0.0,0.0393125,0.9664270833333332,0.3875572360992432,1.49,0.3799778092399136,False
92,0.5953443287871778,0.3095697030425072,14.706071578059344,0.12179159115999935,100,20.27,6.009750410790784,34.0,6.0,28.0,0.2964849733986573,17.0,6.666666666666667,22.26,18.28,3.9800000000000004,0.19634928465712878,0.0,0.02111458333333333,0.14859375,0.6105629753112793,3.43,1.216932100701557,True
93,0.5953443287871778,0.23309471756219868,8.378711040318011,0.12179159115999935,100,74.03,12.843251146029964,110.0,47.0,63.0,0.17348711530501099,42.0,12.595959595959595,73.4,74.66,1.259999999999991,0.017020126975550328,0.0,0.07711458333333333,0.13997916666666665,0.6137212284088135,13.52,0.15675353613524529,False
94,0.5953443287871778,0.23309471756219868,14.706071578059344,0.08226911980658769,100,76.17,12.892676215588446,117.0,42.0,75.0,0.16926186445567082,65.0,16.373737373737374,78.04,74.3,3.740000000000009,0.04910069581199959,0.0,0.07934375,0.14045833333333335,0.6137707126617432,10.11,0.5453877376886862,False
95,0.27048072600737216,0.3095697030425072,8.378711040318011,0.08226911980658769,100,47.36,12.740894788043736,81.0,21.0,60.0,0.26902227170700455,49.0,11.171717171717171,54.36,40.36,14.0,0.2956081081081081,0.0,0.04933333333333333,0.9697604166666665,0.3197558497380728,0.99,1.6151208143796216,True
96,0.6097277223132551,-0.300190094858408,6.681999822426587,0.07040891088545322,100,745.41,19.068348119331155,782.0,699.0,83.0,0.025581020001517494,51.0,15.434343434343434,748.9,741.92,6.980000000000018,0.009363974188701545,0.0,0.77646875,0.1460625,0.6139515106201171,110.4,0.07283499348455065,False
97,0.6156014423817396,-0.300190094858408,6.681999822426587,0.07040891088545322,100,745.41,19.068348119331155,782.0,699.0,83.0,0.025581020001517494,51.0,15.434343434343434,748.9,741.92,6.980000000000018,0.009363974188701545,0.0,0.77646875,0.1460625,0.6139515106201171,110.4,0.07283499348455065,False
98,0.6097277223132551,-0.26751937866210934,6.681999822426587,0.07040891088545322,100,735.47,19.542494723038814,782.0,669.0,113.0,0.026571436935617785,47.0,13.06060606060606,738.36,732.58,5.779999999999973,0.007858920146300968,0.0,0.7661145833333332,0.14630208333333336,0.6134046340942383,109.96,0.0,False
99,0.6097277223132551,-0.300190094858408,2.8817003338597713,0.07040891088545322,100,798.83,19.419091121883124,849.0,754.0,95.0,0.02430941642387382,49.0,12.757575757575758,796.08,801.58,5.5,0.006885069414018001,0.0,0.8321145833333332,0.17105208333333338,0.6019128368377685,110.82,0.013157894736842105,False
100,0.6097277223132551,-0.300190094858408,6.681999822426587,0.014191723968833685,100,745.54,33.691369814835376,805.0,636.0,169.0,0.04519055961428679,46.0,13.494949494949495,760.78,730.3,30.480000000000018,0.04088311827668538,0.0,0.7766041666666667,0.18304166666666666,0.5994721237182618,21.46,0.06529204957781805,False
101,0.6156014423817396,-0.26751937866210934,2.8817003338597713,0.014191723968833685,100,760.2,20.141499447657814,811.0,721.0,90.0,0.026495000588868473,59.0,14.464646464646465,754.0,766.4,12.399999999999977,0.01631149697448037,0.0,0.791875,0.2475104166666667,0.5711713348388673,21.71,0.14473684210526316,False
